DATE,OPEN,HIGH,LOW,CLOSE,JAW,TEETH,LIPS,MA5,MA15,VOLUME,VROC
'2024-07-01 09:15:00', 152, 152.1, 151.2, 151.32, nan, nan, nan, nan, nan, 237191, nan
'2024-07-01 09:16:00', 151.32, 151.48, 151, 151.46, nan, nan, 0.0, nan, nan, 70362, nan
'2024-07-01 09:17:00', 151.44, 151.45, 151.3, 151.4, nan, nan, 0.0, nan, nan, 37558, nan
'2024-07-01 09:18:00', 151.4, 151.75, 151.4, 151.75, nan, nan, 0.0, nan, nan, 27007, nan
'2024-07-01 09:19:00', 151.8, 151.99, 151.7, 151.99, nan, nan, 0.0, 151.58, nan, 70949, nan
'2024-07-01 09:20:00', 151.99, 151.99, 151.62, 151.8, nan, nan, 151.54, 151.68, nan, 41893, nan
'2024-07-01 09:21:00', 151.75, 151.79, 151.7, 151.77, nan, nan, 151.59, 151.74, nan, 21841, nan
'2024-07-01 09:22:00', 151.77, 151.92, 151.74, 151.88, nan, nan, 151.62, 151.84, nan, 43935, nan
'2024-07-01 09:23:00', 151.85, 151.85, 151.79, 151.8, nan, nan, 151.66, 151.85, nan, 31012, nan
'2024-07-01 09:24:00', 151.79, 151.85, 151.74, 151.75, nan, nan, 151.69, 151.8, nan, 59095, nan